1972,-,-,-,-,-,7,-2,11,-18,-32,-48,-61,-
1973,-62,-28,-44,-39,-26,-44,-41,-51,-49,-43,-66,-62,-46
1974,-59,-,-55,-48,-35,-23,-33,-26,-20,-15,-51,-19,-35
1975,-62,-52,-59,6,-9,-40,-51,-56,-67,-71,-81,-76,-51
1976,-72,-65,-50,-60,-67,-50,-67,-56,-60,-70,-52,-45,-59
1977,-65,-48,-62,-60,-49,-66,-70,-70,-62,-103,-63,-69,-65
1978,-63,-39,-42,-75,-40,-62,-58,-36,-49,-49,-83,-60,-55
1979,-38,-54,-42,-38,-13,-18,-34,-25,-28,-52,-4,-51,-33
1980,-38,-42,-17,-34,-12,-25,-29,-34,-26,-33,-34,-10,-28
1981,-20,-9,-28,-24,-5,2,-3,-2,2,20,-2,32,-3
1982,-7,-15,-11,-2,7,11,-4,3,-8,-12,-9,-12,-5
1983,-15,-11,-3,3,22,12,0,-4,-13,-10,-16,-14,-4
1984,20,3,5,17,19,10,4,-10,9,-18,-11,11,5
1985,-4,-20,-4,13,25,25,21,28,19,15,30,15,14
1986,25,17,20,59,29,41,29,32,27,13,13,6,26
1987,16,15,27,26,45,62,37,34,14,60,41,27,34
1988,29,39,58,53,52,59,54,50,50,57,43,36,48
1989,14,30,56,67,54,60,53,51,59,40,49,24,46
1990,25,33,19,48,58,60,67,59,64,50,65,67,51
1991,48,69,79,84,97,118,113,116,97,97,97,75,91
1992,69,82,110,103,118,131,117,116,115,117,-,106,108
1993,95,97,111,118,139,124,126,123,118,116,111,121,117
1994,120,104,125,154,142,142,145,154,184,167,148,145,144
1995,162,167,191,167,-,183,171,166,177,139,140,133,163
1996,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,-,-,-,-,-,-,-,-,121,117,138,125,-
1998,115,106,129,138,154,149,136,129,140,124,132,119,131
1999,110,114,143,137,129,138,134,132,127,118,99,122,125
2000,117,115,119,119,116,121,142,125,113,119,115,103,119
2001,101,104,112,115,111,122,134,123,127,92,109,121,114
2002,79,86,94,108,116,122,137,122,130,112,107,98,109
2003,100,98,100,125,119,120,131,127,123,124,108,110,115
2004,132,113,114,129,137,137,129,147,128,117,109,109,125
2005,140,136,116,134,141,143,147,143,137,128,130,135,136
2006,129,116,133,124,135,141,131,140,125,111,96,86,122
2007,101,103,116,115,142,139,130,143,140,139,104,109,123
2008,103,94,102,118,112,115,113,122,123,102,98,98,108
2009,96,111,103,101,94,125,114,101,110,116,112,115,108
2010,97,110,101,95,110,133,118,107,112,88,79,92,103
2011,78,71,73,89,83,81,95,70,59,52,43,86,73
2012,74,71,55,73,86,77,83,71,70,75,64,84,73
2013,49,68,71,70,91,87,76,73,57,51,72,41,67
2014,61,65,61,75,83,76,75,61,58,34,35,33,60
2015,36,36,64,37,38,50,34,36,49,19,5,-27,31
2016,16,30,11,40,47,57,45,56,12,41,39,8,34
