1904,223,222,229,227,228,235,248,243,238,231,227,215,231
1905,209,208,211,220,231,243,244,239,230,224,225,222,226
1906,220,217,215,225,235,247,252,247,234,226,220,217,230
1907,215,210,214,220,231,240,249,241,234,219,218,209,225
1908,206,207,207,211,215,235,255,248,237,229,223,219,224
1909,218,214,215,221,224,237,247,247,234,229,216,215,226
1910,213,215,212,210,217,228,226,217,207,192,188,174,208
1911,177,172,179,181,188,205,207,204,194,179,179,178,187
1912,174,175,174,177,185,206,217,208,192,186,177,170,187
1913,168,169,167,169,181,195,206,195,186,177,169,165,179
1914,163,165,167,175,179,198,221,214,204,198,193,189,189
1915,191,188,190,192,201,226,232,233,230,216,209,202,209
1916,204,201,200,204,214,229,239,239,230,220,208,215,217
1917,-,-,-,-,-,-,-,-,-,-,-,-,-
1918,-,-,-,-,-,-,-,-,-,-,-,-,-
1919,-,-,-,-,-,-,-,-,-,-,-,-,-
1920,-,-,-,-,-,-,-,-,-,-,-,-,-
1921,-,-,-,-,-,-,-,-,-,-,-,-,-
1922,-,-,-,-,-,-,-,-,-,-,-,-,-
1923,-,-,-,-,-,-,-,-,-,-,-,-,-
1924,-,-,-,-,-,-,-,-,-,-,-,-,-
1925,-,-,-,-,-,-,-,-,-,-,-,-,-
1926,-,-,-,-,-,-,-,-,-,-,-,-,-
1927,-,-,-,-,-,-,-,-,-,-,-,-,-
1928,-,-,-,-,-,-,-,-,-,-,-,-,-
1929,-,-,-,-,-,-,-,-,-,-,-,-,-
1930,-,-,-,-,-,-,-,-,-,-,-,-,-
1931,-,-,-,-,-,-,-,-,-,-,-,-,-
1932,-,-,-,-,-,-,-,-,-,-,-,-,-
1933,-,-,-,-,-,-,-,-,-,-,-,-,-
1934,-,-,-,-,-,-,-,-,-,-,-,-,-
1935,-,-,-,-,-,-,-,-,-,-,-,-,-
1936,-,125,122,123,131,141,150,138,130,119,109,108,127
1937,104,102,100,105,114,122,124,121,102,91,80,75,103
1938,70,74,71,71,82,91,92,92,85,75,63,65,78
1939,-,-,-,-,-,-,-,-,-,-,-,-,-
1940,-,-,-,-,-,-,-,-,-,-,-,-,-
1941,-,-,-,-,-,-,-,-,-,-,-,-,-
1942,-,-,-,-,-,-,-,-,-,-,-,-,-
1943,-,-,-,-,-,-,-,-,-,-,-,-,-
1944,-,-,-,-,-,-,-,-,-,-,-,-,-
1945,-,-,-,-,-,-,-,-,-,-,-,-,-
1946,-,-,-,-,-,-,-,-,-,-,-,-,-
1947,-,-,-,-,-,-,-,-,-,-,-,-,-
1948,-,-,-,-,-,-,-,-,-,-,-,-,-
1949,-,-,-,-,-,-,-,-,-,-,-,-,-
1950,-,-,-,-,-,-,-,-,-,-,-,-,-
1951,-,-,-,-,-,-,-,-,-,-,-,-,-
1952,-,-,-,-,-,-,-,-,-,-,-,-,-
1953,-,-,-,-,-,-,-,-,-,-,-,-,-
1954,-,-,-,-,-,-,-,-,-,-,-,-,-
1955,-,-,-,-,-,-,-,-,-,-,-,-,-
1956,-,-,-,-,-,-,-,-,-,-,-,-,-
1957,-,-,-,-,-,-,-,-,-,-,-,-,-
1958,-,-,-,-,-,-,-,-,-,-,-,-,-
1959,-,-,-,-,-,-,-,-,-,-,-,-,-
1960,-,-,-,-,-,-,-,-,-,-,-,-,-
1961,-,-,-,-,-,-,-,-,-,-,-,-,-
1962,-,-,-,-,-,-,-,-,-,-,-,-,-
1963,-,-,-,-,-,-,-,-,-,-,-,-,-
1964,-,-,-,-,-,-,-,-,-,-,-,-,-
1965,-,-,-,-,-,-,-,-,-,-,-,-,-
1966,-,-,-,-,-,-,-,-,-,-,-,-,-
1967,-,-,-,-,-,-,-,-,-,-,-,-,-
1968,-,-,-,-,-,-,-,-,-,-,-,-,-
1969,-,-,-,-,-,-,-,-,-,-,-,-,-
1970,-,-,-,-,-,-,-,-,-,-,-,-,-
1971,-,-,-,-,-,-,-,-,-,-,-,-,-
1972,-,-,-,-,-,-,-,-,-,-,-,-,-
1973,-,-,-,-,-,-,-,-,-,-,-,-,-
1974,-,-,-,-,-,-,-,-,-,-,-,-,-
1975,-,-,-,-,-,-,-,-,-,-,-,-,-
1976,-,-,-,-,-,-,-,-,-,-,-,-,-
1977,-,-,-,-,-,-,-,-,-,-,-,-,-
1978,-,-101,-101,-92,-86,-77,-66,-62,-73,-83,-82,-83,-82
1979,-81,-73,-65,-52,-46,-31,-19,-19,-45,-45,-56,-53,-49
1980,-52,-56,-49,-42,-35,-24,-22,-26,-40,-45,-48,-48,-41
1981,-43,-44,-41,-30,-14,-5,4,2,-3,-17,-26,-24,-20
1982,-27,-21,-18,-16,-6,1,7,-1,-9,-11,-16,-16,-11
1983,-14,-12,-6,-5,4,14,17,16,1,-9,-12,-12,-2
1984,-10,-6,-8,-2,11,19,22,17,2,-5,-7,-9,2
1985,-13,-9,-6,5,17,26,33,25,19,9,5,6,10
1986,-2,8,12,15,22,30,34,31,24,7,4,2,16
1987,1,3,8,16,29,43,44,51,35,26,25,25,26
1988,28,41,40,49,54,67,75,69,59,52,48,42,52
1989,40,43,43,46,48,62,59,64,57,50,29,30,48
1990,29,33,32,39,48,67,70,71,56,53,41,61,50
1991,59,56,60,72,88,107,109,108,110,82,82,70,84
1992,84,84,83,98,103,118,128,122,112,102,103,102,103
1993,103,101,98,107,111,124,139,141,144,126,135,127,121
1994,127,128,130,127,135,152,153,151,134,134,130,133,136
1995,133,134,137,144,152,164,172,163,149,136,132,121,145
1996,125,147,152,149,148,152,157,163,152,154,150,151,150
1997,147,151,152,-,146,138,136,137,138,138,138,131,141
1998,134,132,135,130,133,138,139,137,-,97,102,98,125
1999,101,99,102,102,105,99,104,134,130,118,106,84,107
2000,88,89,91,96,109,116,114,113,105,87,86,81,98
2001,82,80,84,89,97,107,111,103,91,76,76,75,89
2002,75,73,82,92,98,114,117,112,96,90,82,85,93
2003,76,85,80,84,98,109,114,112,108,92,90,89,95
2004,89,94,98,98,104,114,114,114,116,101,89,84,101
2005,83,86,91,91,93,111,115,116,104,97,95,91,98
2006,90,85,88,87,96,101,106,100,95,89,88,83,92
2007,73,84,76,75,77,93,92,90,89,83,82,82,83
2008,80,75,74,81,85,86,86,86,86,84,75,74,81
2009,69,73,77,78,85,96,97,89,78,76,68,67,79
2010,68,63,67,74,83,95,93,81,66,66,56,55,72
2011,57,55,55,59,66,72,72,64,41,38,37,31,54
2012,34,38,39,44,52,59,65,56,43,34,33,31,44
