2001,-,-,-7,-3,3,13,19,10,-3,-14,-18,-18,-2
2002,-18,-20,-17,-4,3,17,23,18,2,-4,-10,-13,-2
2003,-23,-16,-5,1,-3,4,12,9,3,-9,-6,-11,-4
2004,-12,-9,-5,-5,6,19,18,19,10,-3,-5,-7,2
2005,-7,-4,1,4,13,21,23,13,5,9,19,21,10
2006,19,18,20,23,28,35,39,26,16,6,3,0,19
2007,-5,4,9,17,23,35,36,31,22,6,9,3,16
2008,0,-1,2,7,15,23,25,18,-1,-16,-24,-19,3
2009,-16,-10,-14,-8,-4,7,9,2,-11,-15,-19,-23,-8
2010,-20,-24,-21,-14,-6,5,6,-11,-24,-29,-39,-44,-18
2011,-41,-41,-40,-40,-35,-29,-22,-25,-42,-45,-48,-57,-39
2012,-47,-42,-41,-39,-36,-29,-20,-28,-37,-49,-50,-50,-39
2013,-54,-52,-45,-40,-35,-20,5,-14,-28,-48,-53,-55,-37
2014,-56,-57,-56,-50,-45,-36,-36,-49,-55,-68,-74,-80,-55
